口コミ,投稿日
年末の家族旅行でお世話になりました。どうも有難うございました。一番のおすすめは、湯の里おかだとホテルおかだのふたつの施設の温泉を利用できるという点です。どちらの温泉に行くにも一度屋外に出ていく必要はありますが、庇下を通れますし部屋に備えつけのスリッパで移動できます。湯の里おかだの温泉は野天風呂の岩の傾斜が丁度良く、泉質も自分にあっていたのか、ゆったりとうたた寝しながらリラックスして入れました。ホテルおかだの温泉は朝夕男女入れ替え式で、脱衣所、内湯ともに広々としていて贅沢。化粧台スペースやアメニティグッズが充実しており、さすがな感じです。夕食は想像以上に質量ともに十分で、コストパフォーマンスは良いと思います。朝食は和食バイキング形式で、バリエーションも十分だと感じました。スタッフの方々は皆さん丁寧でしっかりしていました。部屋は家族４人にとっては必要十分。ただ、テレビは決して大きくないです。小中学生ぐらいまでの元気なお子さんがいるご家族や、比較的身体の元気な若年層のグループに、コスパを求めたご旅行におすすめします。,2019-12-30
箱根の温泉を楽しめました！色々な種類がありとても楽しめました他の温泉街も近いので楽しめると思います,2019-12-28
星空が満喫できる露天風呂で温泉三昧プランで予約しました。お風呂が、箱根の森にして本当に満足です。露天風呂堪能できました。一つ一つがとても大きいわけではないけど、少しずつ趣が異なり、夕焼けも美しくて展望が良かった。ちょっと石の床が滑りやすい気がしましたが・・本館のおかだに泊まるより、お風呂が近くて良かったです。,2019-12-23
彼氏の誕生日の旅行で利用しました。2人部屋なのでそこまで広くはなかったですが、特に狭さは感じませんでした。テレビの画質が少し荒かったかなと思いました。事前に誕生日ケーキを予約していたら、こっちの好きな時間で持ってきてくれるとのことでメールの対応も当日もとても対応良かったです！サプライズできて彼も喜んでくれました！お風呂はとても広くて露天風呂も複数あって良かったです！カミソリやアメニティセットがなかったので洗顔などは持って行ったほうがよさそうです。ご飯は夕食、朝食利用しました。夕食は豪勢で量もたくさんあったので満足してます。朝食はバイキング形式ですが、おかずの量が少なくて私の食べられる物があまりなかったです。。パンやポテト、唐揚げとかあったら嬉しかったです。,2019-12-23
宿の中に色々なお店があって回っているだけで飽きずにそれだけでも楽しめました。誕生日旅行での予約だったのですが相手もとても喜んでいて楽しんでくれていたので、良い旅行ができたと思います。また箱根に行った際　利用したいと思いました。有難う御座いました。,2019-12-22
国産黒毛和牛ステーキコースで予約しました。さすがにステーキは美味しかったです。他の料理も品数も多くて天ぷらなども熱々で和食のコースで良かったです。ただ19時食事開始でお願いしたら、最終回なせいか、食卓に料理が載っていて着席と同時に火を付けていただき、ちょっとせわしなく感じてしまったのが残念でした。お風呂は、とても良かったです。,2019-12-17
ランクアップした料理は、ボリュームたっぷりで大満足でした。ただ、温泉の効能が薄く、スーパー銭湯へ行った感が残念だけど、おかだのお風呂は湯の質は良かったです。,2019-12-09
窓からの景色は駐車場に停まってる車がばっちり見えたり、夕食の場所が普通の食堂のような感じの所だったのは、安いプランだったからしょうがないですが、期待していた温泉が、普通のお湯のように感じたのはなぜでしょうか？露天風呂は広くてノンビリできたのは良かったです。次に泊まる時はもう少し宿泊料金が高いプランにしようと思います。,2019-11-01
宿泊前に何度か問い合わせのメールをしましたが、とても対応が良かったです。まだ小さな子がいるため有料の家族風呂をお借りしたのですが、周りを気にせず家族みんなでゆっくりできるのでオススメです。夕飯も量がちょうどよく、美味しくいただきました。朝ごはんは色々食べたかった事や子供のリクエストもありプラス料金でお隣のホテルおかださんのバイキングへ。和洋いろんなメニューにコーヒー、デザートもあって大満足です。チェックインしてしまうと、箱根の街を散歩やちょっと近くのコンビニへ…というアクセスのいい場所ではないので、できれば到着前に済ませておくのがいいかもしれません。また、三階の連絡通路(？）部分に喫煙所がありますが、受動喫煙が辛かったです。いろんな人が通るので場所の移動を希望します。,2019-10-27
離れのふるさとを利用しました。予想以上に広くて驚きました！床暖房もあり過ごしやすかったです。足湯も部屋にあり利用させてもらいました。離れと聞きもっと遠いかと思いましたが全然そんな事ありませんでした。温泉も2ヶ所使用していいと聞き両方利用させてもらいました！大満足でした！ありがとうございました！,2019-10-25
