Unnamed: 0,口コミ,投稿日
0,【良かった点】フロントの男性の方の対応は柔和で感じの良い印象だったのと大浴場の温泉の温度がやや高めでとても気持ち良く、ほぼ貸し切り状態でのんびりと温泉を満喫出来たのが良かったです。。【残念な点】エアコンの型式が古いのか空調の音が大きくて一晩中気になって全く寝られなかったです。おまけにテレビが全く映らず21時以降はフロント無人の為連絡する事も出来ず困惑。電源コンセントは室内に一か所しかなく、携帯を充電するにもドライヤーを使うにも不便で何だか我慢する事の方が多かった印象です。,2023/10/4
1,以前旧東海道ハイキングをした際に宿泊させて頂きました。とても良かったので、今回は金時山の登山のため利用。チェックインしてすぐに温泉に入りましたが登山で足腰が疲労した事もあり非常に気持ち良かったです。食事も美味しくスタッフの方も感じがいいので楽しくリラックスして過ごせました。ありがとうございます。,2023/9/21
2,犬連れの家族での箱根旅行に利用させていただきました。小涌谷と芦ノ湖の間ですが、雰囲気としては山間部にあります。設備は古いようですが、手入れはよく行き届いていて、何となくきれいな感じの部屋でした。オールインクルーシブで飲み物やお菓子が取り放題であり、宿泊中はリーゾナブルに楽しめます。浴室も比較的いい広さですが、人が多いと狭く感じます。天候の関係でテレビが見られませんでしたが、そういう点を含めても、箱根観光に利用するには便利はホテルだと思います。,2023/9/18
3,小学生の子どもと家族3人で泊まりました。コース料理だと娘が食べれるものがあまりないため、朝夕両方ともブュッフェの宿を探していてやっと見付かったのがこちらのホテルでした。お値段もリーズナブルで食事も美味しく、温泉にもゆっくり入れて娘も大満足でした！！お部屋は洋室のトリプルタイプだったので少々狭く、テーブルがなかったので(小さい台は一つありました)少し不便でしたが、私達家族にとっては大変満足でした！！また利用させて頂きたいです！！素敵な思い出をありがとうございました(^^),2023/8/22
4,お酒好き、お風呂好き、料理のこだわりがある方で、背伸びしない自宅に居るような感覚での宿泊を求めているならおすすめします。内装やサービスなど、スタッフの方々の努力がとても見えます。費用が安かったのですが、泉質もよく、思っていた以上の満足感でした。,2023/8/9
5,夕食の、メインディッシュ（私達の時は、ホエー豚のとろける料理でした）＋バイキング（たくさんの種類！）とても美味しかったです！　朝食バイキングもとても美味しかった！温泉も良かったです。飲み放題（種類限定）とプチお菓子も楽しめました。おそらく建物自体は古いのかもですが、リフォームしてあって充分OK。箱根神社から近くて、便利でお手軽・お気楽な美味しいお宿でした。,2023/8/8
6,芦ノ湖近くの山の中腹にあります。ペンションみたいな落ち着いた雰囲気のあるホテルです。飲み物やお酒などが飲み放題、ちょっとしたお菓子やアイスも食べ放題でした。お風呂はこじんまりしてますが良かったです。朝食のご飯が保温にしてるご飯だったのが残念です。,2023/7/26
7,価格がリーズナブルなときは何度も利用しています。建物はかなり傷があったり、部屋内の設備も古いので使いにくそうですが…何も問題ありません。この価格で露天風呂もあるなどあり得ません。アルコールのフリードリンクもあります。ホテルスタッフが一生懸命頑張っているのが伝わります。朝食もいろいろ選べて満足です。また秋に泊まりにきます。,2023/7/18
8,源泉が73℃と熱く、ちょっと熱めに温泉調整してあり、疲労回復には、最高の硫黄温泉です。夕食、朝食共にバイキング形式ですが、好きな物を選べて良いです。フロント前には、ジュース等の飲み物お代わり自由で、お風呂上がりに最高です。,2023/6/12
9,まずは台風渦中の15:00〜10:00までフルに利用しました。ちょうど暴風雨が激しくなりだした現地集合。孫娘は部屋を行き来して結構楽しめて安心しましたが、普段は静かな温泉は屋根の波型塩ビ？打ち寄せる風雨の音すざまじく、すぐに退出したとの事。でも夜半に風が収まり朝風呂は結構楽しめたようです。今回は泊のみの箱根デビューでしたがイケメンスタッフ達から優しい対応をしてもらい好印象．当宿を推奨した私達もホット。。,2023/6/4
