Unnamed: 0,口コミ,投稿日
0,客室露天風呂、もう少し湯船が大きければよかったんですけど…部屋も、もう少し広ければいいのにと、思いました。,2023/9/26
1,とても良い滞在になりました。温泉も私にはすごくあっていたようで、とても気持ちよく入れました。夫は温泉で長居できないタイプですが、ゆとりろ庵さんのお湯は気に入ったようで、喜んでいました。いつもより長く入れたとのことです。笑夕食では、色々お気遣いくださって、嬉しかったです。この場を借りて御礼申し上げます。給仕の方にもよくしていただきました。お料理も、野菜がふんだんに使われていて美味しかったです。女子が好きそうなお料理だなと思いました。品数も多くて良かったです。フリードリンクも、自由にとりにいく方式が私には楽でいいなと思いました。足湯では、木々を見ながら、のんびりできました。結構、人気スポットだったようにお見受けします。滞在中は浴衣で過ごせたので、楽ちんでした。色々種類を置いていてくださったので、２種類、着用させていただきました。とても楽しく過ごせました。ありがとうございました。,2023/9/26
2,すごく良かったです！クチコミで悪いものも散見されますが、この価格帯では妥当だと思います！お食事もすごい美味しいです。また、彼女が忘れ物をした際に、施設の方々がすごく親切に対応してくださりました。無事、忘れ物も見つかりありがとうございました！,2023/9/24
4,当日は豪雨と風で、計画していたロープウェイや屋外施設の彫刻の森美術館に行くことが出来ず、早めに宿に行き ロビーで待たせていただきました。ウエルカムドリンクのコーヒーで温まり、ゆったりしたソファーで 5時間の旅の疲れを癒すことができました。宿まで歩いてきたかたはずぶ濡れでした。すると、時間前にチェックインさせていただけたのです。以前利用した温泉旅館は、ロビーに人が溢れているのに頑なに時間までチェックイン出来なかったので、フロントのかたのご配慮に 雨で萎えた心が温かくなりました。お部屋は「日にち限定スペシャルプラン」で6畳間とわかっていたので 、狭いとは思いませんでした。2人には丁度よく、窓の外の緑が美しかったです。夕方には、ウエルカムドリンクにアルコール類も追加され 嬉しかったです。夕食は色々なものが少しずつ出ました。60代の私達には適量でしたが、若いかたは物足りないかもしれません。朝食の方が良かったです。そもそも こちらのお宿はじゃらんさんの「日にち限定キャンペーン」に掲載されていたので利用させていただきました。 充実したウエルカムドリンクや選べる色浴衣、スタッフさんのご挨拶等、お値段以上に満足です。御手洗のタオルがハンドタオルだったのですが、削れる所は削って宿泊費に還元されていると思い、好感が持てました。宿泊費の高い箱根強羅にあって コストパフォーマンスの良いお宿です。残念だったのは 大雨で楽しみにしていた足湯テラスを利用出来なかったこと。でも雨のお陰で 宿でゆっくりでき、悪天候にフロントのかたが機転を利かせてくださりゆっくり休むことができて悪くなかったなぁ、と思います。お心遣い、ありがとうございました。,2023/9/24
5,ご飯がこんにゃくや豆腐、野菜などがメインで物足りなかった。お肉もスーパーの？と思う質だった。お腹はいっぱいになるが美味しくは無いので満足感がない。また、飲み物がQRで頼まなきゃいけないのだが、電波はほとんど無いしwifiも遅いのでかなりストレス。隣の卓の人が直接スタッフに頼めていたので、こちらも、、と思い声をかけたら「QRでお願いします」と言われた。違う対応をされて不快な気分です。QRで効率化したいならwifiをもっといいものにしてください。アルコールの提供も遅かった。お風呂は2つあり、片方がぬるかった。こういう設定なのかな、と思ったけど次の日行ったらすごい熱かった。,2023/9/21
7,今回、彼との記念日に利用させて頂きました(*^^*)宿の雰囲気も凄く良かったしスタッフの方の対応も凄く丁寧でした！朝夕のご飯もめちゃくちゃ美味しかったです！お湯はお肌がスベスベになりました！しいて残念かもな…って思う所は…貸し切り露天を利用してた人にはタオルセットをもう一組貸して頂けたらもっと良かったかなぁ…って思いました。それ以外は本当に最高でした！また行きたい！って思える宿です！2人でまた利用させて頂きます(^-^)ありがとうございました(^^),2023/9/14
9,冷房が壊れていたので、あまりゆっくりできなかった。事前に連絡頂いたが前日の夜で中止しようかと思ったがせっかく休みをとったのので、箱根なので夜は大丈夫かと思ったが暑かったので印象が悪いのかもしれません。夕食は見た目は綺麗だが、味は?です。味つけご飯が臭く食べる気がしなかった。魚の処理が悪いのかも?飲み物をお願いするのにスマホを使うが電波状態が悪く苦労しました。他の方も困っていました。せっかくの食事も落ち着かず考えて頂きたい。ツインの部屋にしたが、台の上にマットが置いてあり下りるのが人苦労でした。露天風呂も有料だし料金的には高めです。,2023/8/21
10,駐車場へ到着すると、送迎の車が待機してくれていました。受付の対応や備品なども館内サービスが行き届いていてとても気持ちよく過ごすことができました。お庭もきれいで箱根らしい情緒が味わえます。ただひとつ残念だったことをあげますと、朝食の品々が、インスタント的な出来合いのお惣菜が細々並んでいて（８種の惣菜とおっしゃっていましたが）綺麗ではありましたが、少々手作り感がないように思えたのが残念でした。夕食はバーニャカウダやカルパッチョなどがとても彩りよく並んで、新鮮なお野菜やお魚が美味しくいただけました。温泉も素晴らしかったのでまた利用したいです。,2023/8/2
11,急に決めた箱根旅行でした。近場で少しでも涼しいところを目指して、こちらに辿り着きました。チェックインを担当していただいた、スタッフさん。笑顔が可愛すぎて、一目惚れでした笑接客もステキすぎて、お仕事中なのに、隙をみてはお話ししてしまいました笑ご飯を担当してくれたスタッフさんのキャラクターが面白すぎて、ついつい朝ごはんの時も探してしまいました笑おかわり、すぐ持って来てくれますよ！！お風呂も貸し切り風呂、おススメです。足湯の雰囲気もすごく良かったです！強羅まで足を伸ばしたら、ぜひぜひ、こちらの宿を利用してみてください！,2023/8/1
12,お部屋の広さも丁度よく、早めに貸し切り風呂に入ってのんびりとできました！周りはセミの大合唱でしたが、夏を感じられて満足です。食事も朝、夜共に美味しかったです！,2023/7/31
