Unnamed: 0,口コミ,投稿日
0,今回家族旅行で利用させていただきました。和室で広々としたお部屋ですごくゆっくり過ごせました。急なお願いにも対応していただいて、すごく助かりました。,2023/10/2
1,ホテルには併設された、日帰り風呂施設の大浴場が利用できました。露天風呂がありとても広くて良かったです。夕飯は、とても美味しくいただきました。,2023/9/20
2,家族旅行で和室を利用。広々と開放的です。夕飯は揚げ物の天ぷらが美味しく宿泊値段を考えるとコストパフォーマンスは良いと感じました。できるだけ温かいものは温かいうちに提供する心つかいを感じました。新しい旅館ではないけどサービスはよかったと思います。,2023/9/19
3,始めに同じ系列店と勘違いしましたが丁寧に案内うけ、無事にチェックイン。部屋はリニューアルされていたけど、廊下ロビーは年季入った感じでした。食事会場は開放感あり、案内の方が凄く気持ちよく広い席に案内してくれました。夕飯は始め彼には少ないと思ったけどご飯おかわりしたらお腹一杯になったようで、満足。事前に紙にエビアレルギーと書きましたがエビフライ出てきました。お風呂はそこまでは広くないけど、年輩の方には段差多く、不便ですね。平日ともありのんびりお風呂堪能できました。朝のバイキング品数は少ないけど健康的食べれて良かったです。アジの開きじゃなく、できればシャケ欲しかったです。お世話になりました。,2023/9/14
4,部屋は壁紙がオシャレで綺麗でした！ただ水の出が悪く歯を磨いたり顔を洗うのに不便でした。温泉は連絡通路を渡ってと少し不便でしたが広々としてたのでのんびりと入ることが出来ました！無料のマッサージチェアが最高でした！夕食、朝食は美味しかったですがもう少し暖かいままの提供だと嬉しいかなと思いました。のんびり過ごすにはいいホテルだと思います。ありがとうございました。,2023/9/11
5,何度か利用させて頂いてます！リーズナブルで、ご飯もしっかり美味しい、部屋も清潔感があり、素敵な宿です(*^^*)徒歩だとすこし立地的にしんどいので車がオススメです^^;,2023/9/6
6,温泉風呂はとても良かったです　朝夕食とも暖かいもの品数少なく美味しくなかった　接客は可もなく不可もなく再訪はないかな？,2023/9/5
7,前から行きたかった箱根神社でパワーを頂き、お部屋に設置された足湯で疲れも癒やされ、広々としたお部屋でのんびりくつろげました。温泉も良かったし、近隣ホテルの温泉にも入れて楽しめました,2023/9/4
8,3人で箱根に旅行の際に利用しました。ご飯も美味しかったですが、お風呂が凄く気持ちよくてとても素敵な1日を過ごせました。,2023/9/4
9,送迎バスから急坂を上がりますが、湯の里の露天風呂は広々していて好きです。お部屋は、和洋室を選んでます。土地柄？天気もちょっと悪かったから？部屋が湿っぽい感じがしましたが、クーラーでなんとか。今回は、地下での食事でした。品数は満足、食べきれない〜と思いながら頂きました！肉がしっかり焼けたか？？あっ、火が消える！と言った心配はありましたが、やわらかい豚肉いただきました。アレルギーの子ども食は、変更していて下さいました。ありがとうございます。販売機で、水、麦茶を買いたかったのですが、水は売り切れ、麦茶は本館まで買いに行きました。もう少し種類があり、補充か、販売機で買えるようにしてほしいです。帰りのバスは、始発なので、本当に助かります！まだ行きます。２ヶ月連続で行きました！３ヶ月連続で行きたいです！,2023/8/30
10,家族3人で宿泊させていただきました。送迎バスがあるのでとても助かりました！夕食のお肉とお魚がとても美味しかったです。それぞれ量も丁度よく、食べ盛りのこどもが食べ足りなかったりすることなく大満足です。露天風呂は入る場所ごとに温度が違っていたので、のぼせやすい体質の私でもゆっくり入ることができました。朝風呂もオススメです！朝ごはんはバイキング形式で、ちゃんと部屋毎にテーブルをご用意していただけるのでゆっくり座りながらバイキングを楽しめました。納豆やお味噌汁、お魚もあってThe朝食って感じがして良かったです。スタッフの方も皆様とても親切で気持ち良かったです♪また箱根で旅行する際はおかださんにお世話になります！,2023/8/28
11,高台にあるため徒歩はかなりきつい。ホテルの場所、駐車場も分かりにくい。敷き布団が薄く二枚重ねて利用。隣の部屋、声などうるさい。お風呂は遠いが色々楽しめる。食事は料金なり。品数が寂しいかも。若い人向きのホテルかと思う。,2023/8/27
