,口コミ,投稿日
0,サザン茅ヶ崎コンサートの帰りにお泊まりしました。箱根パスでロープウェイも乗り降り自由だったので、荷物をチェック前に預けて、大涌谷、芦ノ湖を回りました。駅から近く（３分）近道の道がなかなかステキでした。お部屋も広く、清潔でした。売店にはアルコールも置いてあり、良心的な価格です。夕食のローストビーフは最高に柔らかく美味しかったです。お刺身が新鮮で、これまた美味しかった。お寿司はミニサイズなのがありがたく、朝ご飯もネギトロ丼にとろろを入れてアレンジできて、良かったです。お天気が良ければ富士山が見れたのにと、残念ですが、また泊まりに来る楽しみができました。,2023/10/2
1,子供ができてから初めての宿泊旅行で利用しました。子供が生後6ヶ月ということでウェルカムベビープランで予約したいところでしたが、連休ということもあり、通常のプランしか空いてませんでした。それでも電話でお願いしたら、ベッドガードやオムツ用のゴミ箱、お昼寝用のベビー布団まで用意していただき、とても助かりました！温泉は開放感のある露天風呂でゆったりリフレッシュすることができ、ディナーバイキングも美味しい料理をたくさん堪能することができました！夜にピアノコンサートが行われていて、家族で聞いて心地よい気分で休むことができました。,2023/10/1
2,久しぶりのゆっくりした時間を過ごせたなぁ〜と終わりたかったのですが食事場所で足元が濡れていて滑り転んでしまった。あ〜あ〜の声がオープンキッチンから、駆けつけたスタッフは無言。,2023/9/27
3,リピーターです。かれこれ5回以上は利用させてもらっているかと思います。部屋は古いながら掃除が行き届いており安心して過ごせます。ここの魅力は何と言っても料理です。種類が豊富で毎回何を食べようかと迷ってしまう喜びがあります。今回も天気は良くしっかり露天から富士山が見えました。ありがとうございました。また利用させて頂きます。,2023/9/27
4,転職前の有休消化で奥さんと2人で、富士山が見える宿がうたい文句で泊まったものの、角部屋1201から見えるのは別棟の壁と裏の林だけで、残念でした。夕食のビッフェでローストビーフはとても柔らかく、他の料理の味付けもよく美味しいいただきましたが、文化の違いか外国の旅行者の食べ方があまりに酷く、また残すのは当たり前状態でせっかくの美味しい料理がだいなしです。以前沖縄でのホテルでは日本人と場所を変えるなどの対応をされていましたが、検討されても良いのではないか。ホテルに到着して古き良きイメージだったものの、良い匂いだと思うのですが、自分には少しだけきつくて、ちょっと勘弁という感じでした。部屋はちょっと湿度が高く、少しだけ生乾きの匂いがしたように思います。お風呂で大浴場ではなく部屋の風呂に入ったのですが、湯船に入った時に、底がぺこぺこしてとても不安でした。カビ等も無くきれいだったのに、残念でした。タオルは漂白されていたもののザラザラ感が多く、また奥さんは化粧落としも無いなど、アメニティの充実が必要ではないでしょうか。,2023/9/26
5,十年以上ぶりに利用しましたが、建物の古さは仕方ないとはいえ部屋のかび臭い匂いが酷かったです。空調も部屋個別にはなかったので寒くて困りました。寝具も薄く夜中に寒くて起きました。大浴場は温泉自体は良いのに脱衣場の清掃がなく、床にたくさんの髪の毛が落ちていて、束になっているものもあり、とても気持ち悪かったです。部屋に帰ってから足を再度洗わなければなりませんでした。定期的にコロコロなどで髪の毛を取った方がいいです。食事は可もなく不可もなくという内容でしたが、動線がないので取りにくいです。食器も適所にないので戸惑いました。朝食のコーヒーはたくさん並んでしまうので、早く欲しい人のために落としたものもあった方がいいと思います。全体的に今回は非常に残念でした。,2023/9/26
6,お誕生日のお祝いに夫と息子が企画してくれました。16:00にチェックインしたところ、夕食は17:00、17:15、1730、1845から選べました。17:00と17:15は早いスタートの特典として、ワンドリンクサービス。せっかくなので、17:15をチョイスしました。90分間のビュッフェスタイルで、混雑する前にゆっくり過ごせました。お寿司はその場で握ってくれ、美味しかったです。いろいろなトッピングから選べるお茶漬けも◎18:00にはアップルパイが出来上がり、デザートも豊富。ロビーにあるおウェルカムドリンクが14:00〜19:00までなので、お食事後はロビーでコーヒータイム。お土産売場は小さめですが、息子は木のおもちゃのガチャガチャにはまりました！1回500円ですが、買う価値ありです。無事に完成しもう１つ欲しいということで、20:50閉店ギリギリに追加を購入。その頃ロビーでは、ピアノの生演奏をしていました。お部屋は和洋室できれいなお部屋。お布団はセルフでしたが、お布団を敷かなくとも、ベッドで3人で余裕で寝れました。大浴場は清潔感があり、露天風呂からは富士山が見えました。メイク落としや化粧水などもしっかりと揃っていて便利。dysonのドライヤーがありました。朝食は7:00〜9:20、自由席。お夕御飯の時とはトッピングの内容が変わりましたが、またお茶漬け◎朝食後にお庭をお散歩。富士山をバックに写真が撮れるよう、携帯を固定する場所があり便利！チェクアウト後は夫は車で、息子とわたしは姥子山からロープウェイで、早雲山で待ち合わせ。朝一9:00のロープウェイは貸切状態。混雑を避けながら、しっかり周辺観光もできました。充実したお誕生日を過ごすことができ、今年一年も楽しく過ごせそうです。,2023/9/24
7,・スーペリア ツインにしたので部屋は満足です。・朝食は桜海老ソースのオムレツが美味しかった。・夕食は、のどぐろ炙りと帆立の握りたてが最高！！　海老の天婦羅もアップルパイも美味しい。・露天温泉も変わらず大変満足です。※ またリピートします。,2023/9/24
8,チェックインした日はかなり天気が悪かったので全く見えませんでしたが、翌日晴れたらクッキリ見えました！　ガイドブック等の写真はよほど条件がいい日でないと見えない景色だと思っていたので、きれいな富士山が見れて本当に嬉しかったです。中庭からも眺めもよくて、家族で素敵な写真が撮れました。食事も大変美味しかったです。フロントには交通のことなどいろいろ問い合わせをしましたが、丁寧に対応していただきました。,2023/9/23
9,ほぼ満足でしたが、夕食のバイキングでかみさんが欲しいものを取ろうとして並んでいたら横入りされ取れなく怒っていた。（何度かあった様子）横入りできないよう配慮してほしい。,2023/9/22
