Unnamed: 0,口コミ,投稿日
0,仙石原の別荘やペンションがある所の一角にあり、目の前がゴルフ場といったロケーションで山に囲まれてとても静かな環境です。ススキ原は歩いて行ける距離です。お部屋は落ち着いたシックな雰囲気で、ホテルの外観ともマッチしてすごくオシャレな雰囲気でした。お風呂もすごく素敵で料理も美味しく、一泊だけでしたがとてもリラックスして過ごせました。お風呂にはサウナがない為、そこは評価が分かれる方はいるかも知れませんが、私は気になりませんでした。接客部分は敢えて満点にはしませんでしたが、これは食事の際の給仕スタッフに研修中の方がいて、対応が若干ぎこちなかった点を反映しました。但し研修中の方を入れる事自体は決して悪い事とは思っておらず、これからサービスが更に向上する事への期待を込めた評価です。総じてもう一度行ってみたいと思える良いお宿でした。今度は一泊ではなく連泊してみたいです。,2023/9/28
1,家族３名で泊まりました。御殿場アウトレットを終わりまでいて来ました。荷物たくさんありましたが、かごに乗せてもらい運んでくれて助かりました。部屋は、それほど広くはなかったですが、室内にちょっとした階段がありレイアウト的に洒落た感じです。わたしは、エキストラベットに寝ましたが、普通のベットとあまり変わらず寝れました。ちょうど女子プロゴルフ大会初日で、スタート前の様子が部屋のベランダから目の前で見れたのは、よかったです。朝食は、クロワッサンがおいしいと口コミに書いてあり期待していましたが、口コミ通りパンだけでなく全部が非常に美味しかったです。やはりハイクラスホテルとしてのレベルの高さを感じます。オレンジジュースやコーヒー、紅茶、クロワッサンもお代わりできよかったです。翌日は、キリンの工場見学や富士山の北側をまわり帰りました。また家族で着て、朝のゴルフ場散歩をしたいと思います。ありがとうございました。,2023/8/19
2,金時山登山の帰りに宿泊しました。バス停を間違えてしまいましたが、そのバス停まで迎えに来て頂き感謝しています。お陰様でチェックインも早くできたので登山後の汗と疲れを早々に癒やすことができました。温泉も清潔でタオルも常に補充されていたので気持ちよく何度も入浴することができました。部屋からの眺めもゴルフコースの緑が気持ちよくゆっくりすることができました。料理も選べるお料理でしたので選ぶ楽しみがありました。とても美味しくいただきました。また泊まりたいホテルです。,2023/6/3
3,リピート必須・・・毎回プラデュジュールと温泉と窓一面緑の広い客室を楽しみに伺ってます。いつも次は何時にしようかと考えながら帰途につきます。スタッフの皆様、有り難う御座いました。,2023/5/7
4,夫婦で利用しました。ベットで寝たい妻と温泉を利用したい夫の組み合わせを共に満足させるホテルでした。夕食、朝食の量も適度で、落ち着いてのんびりと夫婦で会話しながら食べることができました。夫婦旅行の時、ブュッフェはちょっと苦手な我が家にはとっては良い時間となりました。,2023/3/21
5,フレンチコースと温泉が楽しみたく、昨年11月に滞在して以来の訪問でした。夕食のコース料理は色彩、味も良く満足出来る内容でした。朝食も申し分のない内容で、生魚を食しない人の対応も良かったです。,2023/2/28
6,雪の中の露天風呂と、接客が非常に良かった。値段の割に満足のいく内容であったので、気持ちよく過ごすことができた。,2023/2/10
7,ホテルと小田原駅間をシャトルバスが運行していて箱根湯本でも途中下車できるのが便利でした。仙石原周辺美術館行きのバスがあり観光にも助かりました。お部屋のベランダからゴルフ場が見渡せて開放感がありました。外観内装共にクラシックで落ち着いた雰囲気で年配の方のリピーターも多くいるようで、女性一人でも安心して泊まれました。連泊しましたが、朝食の内容を変更してくださったりと細やかな心遣いがありがたかったです。お風呂は姥子温泉で関節筋肉痛に効果ありでとても温まりました。,2023/2/8
8,三世代10人旅行でした。車椅子の貸出、移動の少ない部屋、ベッドガード等色位な要望に応えて頂いて快適に過ごすことが出来ました。ありがとうございます。1つ残念だったのは夕食の時間の変更の連絡が遅かった事。予約を入れてから3週間後に連絡が来たのはなんだかなぁと思ってしまいました。仕方ないとは思いますがもっと早く連絡があれば気持ちも違ったかなと思います。夕食　選べる夕食で老若男女好みを選べるのは良かったです。ただ自分にはちょっと量が足りなかったかなと思いました。妻が食べたステーキが美味しかったです。朝食　こちらも、和食と洋食を選べました。洋食を食べましたが今度はパンチがあって満腹。クロワッサンが美味しく、お替りも出来たので大満足でした。温泉　大浴場の温泉は広さもあり快適。出た後に体のポカポカがいつまでも続くいい温泉でした。とても良い温泉です。部屋　昔の作りなのでそこまで広くないけど、リニューアルもされてきれいで快適でした。ベランダもあり贅沢な時間を過ごせました。部屋内で階段があったので足の不自由な父にはハードルでしたがなんとかなりました。卓球　まさかのプリンスホテルで卓球。とても楽しめました。ホテルなので期待してなかったけど、温泉と卓球のゴールデンコースを味わえて、三世代大爆笑大盛りあがりで最高でした。スタッフ　到着時迎えてくれた背の高い女性スタッフさんはキリッとしながら優しさと配慮があり、さすがプリンスホテルと言う感じで迎え入れてくれてテンションが上がりました。初めてのプリンスホテルでしたが、とても気持ちよく過ごせました。温泉は本当に良かったです。また機会を見つけて伺いたいと思います。ありがとう御座いました！,2023/1/30
9,両親、妻の両親、家族の8人で年末年始過ごしました。プラデュジュールで食べた料理が美味しかったです。サービスもとても良かったです。お風呂も良かったですが、洗い場の数が8ヶ所でちょっと少なかったかな。すぐ横がゴルフ場なので、今度はゴルフ友達と行ってみたいです。,2023/1/3
10,結婚36th記念にて初めて利用させて頂きました。チェックインの対応からお部屋・夕食・お風呂・朝食・チェックアウトまで、失礼ながら？どの場面でも期待以上の内容・対応で大変満足でした。機会あれば、違う季節に家内共々再訪したいと思っています。,2022/12/7
11,今回は母＆姉妹の女3人旅で利用させてもらいました。到着日はあいにくの天気で小雨が降ってきてしまったので早めにホテルに向かい、まだチェックインまでだいぶありましたが快く部屋にご案内してくださいました。スタンダートタイプのお部屋だったので3人だと少し手狭でしたが快適に過ごせました。ベッドも硬さが丁度良くて快眠でした。早めにチェックイン出来たことで露天風呂も3人で2時間近く貸切状態でゆっくり温泉に入れました。夕食は私はメインにステーキを選びましたが、とても柔らかくて味付けも美味しかったです。ただ男性には量が足りないかなと思いました。朝食は洋朝食を選択させてもらいましたがクロワッサンが美味しくて朝からテンションが上がりました(笑)母は和朝食でしたが焼き魚を3種類から選べて、アジの開きは脂もあって美味しかったと喜んでました。ただドリンクバーくらいは有ると嬉しいかな~。せっかく紅葉の時期に宿泊できたので朝食後はホテルからススキ草原まで歩いて向かいました。10分ほどの距離でしたので食後の運動には丁度いい距離です。3人とも黄金色に輝くススキ草原を楽しみにしていたのですが…残念ながら天気が曇りだった事と今年のススキの見頃はもう終わりでした。紅葉とお天気は少し残念でしたが、本当に久しぶりに母娘旅が出来て、また母もホテルがすごく良かったと喜んでくれたので良かったです。ありがとうございました。,2022/11/16
12,恋人のお誕生日お祝いとして泊まりました。到着してすぐお声がけいただきスムーズに受付までご案内していただきました。お部屋までお荷物を運んでもらいながら、館内のご説明も丁寧にしていただき、紳士淑女のようにあつかっていただけました。館内も落ち着いており、家族連れの方も多かったですが、騒がしいとは感じませんでした。食事の量もちょうどよく、御殿場産のお米のおいしさに感激しました。もちろん他のお料理もおいしかったですが基本のお米やお味噌汁がおいしいと安心できます。お食事の利用客も多かったですが、テーブル間は十分に空いておりましたのでゆったりできました。また、デザートにバースデープレートも用意していただき、みなさまから「おめでとうございます」のお祝いを言っていただきまるで某テーマパークのようにお祝いしていただけました。お風呂の流し台付近が、髪の毛等落ちているのが気になったのもありよりこまめにご清掃いただけると嬉しいです。隣部屋の声が聞こえますが、泊まりに来る方も年齢層が高いのもあるのかそこまで気になりませんでした。すすきも見頃でホテルからも10分程度歩いていけたので、散歩にもちょうどよかったです。一生分のすすきを見ました。恋人は箱根の印象までよくなったみたいで、大変満足しておりました。もちろん私自身も満足です。プリンスホテルを見つける度、今回のご対応の良さを思い出して温かい気持ちになります。ゆったり、落ち着いた旅行がしたい方、箱根の美術館めぐりしたい方、仙石原のすすきを手軽に見たい方におすすめです。,2022/11/4
13,毎回楽しみに伺ってます。客室の窓は一面が緑、温泉は体が温まり気持ち良く爆睡しました。夕食時に軽めのワインをお願いするとコクがあって飲みやすい口当たりの良いワインをすすめて頂き母が喜んでいました。料理とても美味しかったです。特にソースが美味！送迎があるのも助かります。次伺うのを楽しみにしてます。,2022/10/28
14,お部屋の広さと眺めは最高でしたが、お隣の話し声が聞こえて来たのは気になりました。お風呂も清潔感があり、大変満足しました。,2022/10/26
15,最上階の広いお部屋は、ゴルフ場が眺められて解放感があり、とても良い。ソファーも座り心地が良く、ベッドも寝心地が良くて部屋から出たくない位くつろげる。掃除も行き届いていて、大きな窓はどこも曇りがない。ルームサービスがあると良い。また浴衣でなく上下別の部屋着が有れば動きやすくてファッション性も兼ねて尚更良い。同じプランが有ればまた行きたい。,2022/10/20
16,小田原駅から無料シャトルバスが利用できます。部屋は中に入ってから3段ほどの階段があり，目の前にはゴルフ場がありました。温泉は2箇所あり、露天風呂にはカタツムリが岩にいるのを発見し、童心に戻った感じがしました。気分をリフレッシュするにはとても良いホテルだと思います。,2022/10/10
